date,EUR,GBP,JPY
1999-05-02,-0.156,-0.0902,0.2592
1999-05-03,0.0521,-0.0899,0.9556
1999-05-04,-0.7673,-1.0456,-0.0331
1999-05-05,-1.2974,-0.4899,-0.1822
1999-05-06,0.1042,0.2048,-0.0207
1999-05-07,0.297,0.279,0.1036
1999-05-08,0.028,-0.0093,0.1386
1999-05-09,0.1582,0.1536,-0.0889
1999-05-10,-0.135,0.3077,0.0993
1999-05-11,0.8357,0.1851,-0.0455
1999-05-12,0.183,0.0062,0.5774
1999-05-13,-0.2252,0.1052,0.48
1999-05-14,-0.0093,-0.0743,0.4573
1999-05-15,0.103,-0.074,0.1933
1999-05-16,-0.0843,0.0615,0.1808
1999-05-17,-0.206,-0.1481,-0.1462
1999-05-18,0.4406,0.1821,0.9829
1999-05-19,-0.0188,0.3438,0.0483
1999-05-20,0.4897,0.3975,-0.2941
1999-05-21,0.1228,0.2338,0.0887
1999-05-22,0.0497,0.075,0.0826
1999-05-23,-0.0308,0.0999,-0.24
1999-05-24,-0.4292,-0.053,-0.8882
1999-05-25,0.628,-0.0564,-0.6129
1999-05-26,0.9709,0.3879,0.2988
1999-05-27,-0.0526,-0.344,-1.2832
1999-05-28,0.268,-0.0846,0.5079
1999-05-29,-0.158,-0.0123,0.2714
1999-05-30,-0.1054,-0.0438,-0.1973
1999-05-31,0.2538,-0.0343,-0.3504
1999-06-01,0.6394,-0.4542,-0.0992
1999-06-02,0.0,0.2799,0.4702
1999-06-03,0.5465,-0.0935,0.1275
1999-06-04,-0.6333,-0.1522,0.4265
1999-06-05,-0.0433,0.0248,0.1472
1999-06-06,0.8367,0.1834,-1.163
1999-06-07,-0.9187,0.2587,0.2312
1999-06-08,-0.6954,-0.0561,-1.634
1999-06-09,-0.1577,0.1045,-0.3275
1999-06-10,-0.2098,-0.4686,-0.3623
1999-06-11,-0.1332,-0.4588,-0.4484
1999-06-12,0.0904,0.1207,0.1229
1999-06-13,0.4915,0.158,1.9459
1999-06-14,0.5035,0.7659,0.0208
1999-06-15,0.4723,0.6584,-0.0415
1999-06-16,0.1644,-0.1698,-0.3621
1999-06-17,0.0919,-0.0847,-0.2129
1999-06-18,-0.8007,-0.2101,0.6994
1999-06-19,0.0769,0.0377,0.0498
1999-06-20,0.4047,0.3169,1.3551
1999-06-21,0.2561,0.1603,-0.3196
1999-06-22,0.1696,0.5079,0.1763
1999-06-23,-0.2905,0.0934,-0.0533
1999-06-24,-1.0291,-0.6045,-0.3614
1999-06-25,0.1629,0.1607,-0.0782
1999-06-26,0.0934,0.0772,0.0021
1999-06-27,0.2665,0.1405,-0.1916
1999-06-28,0.4387,0.0979,-0.1238
1999-06-29,0.2224,0.3771,-0.124
1999-06-30,-0.1112,-0.187,-0.0372
1999-07-01,1.0061,0.133,0.1571
1999-07-02,-0.1172,-0.2059,-0.0744
1999-07-03,-0.0244,0.1266,0.0455
1999-07-04,0.1806,0.0571,1.1297
1999-07-05,0.1272,0.445,-0.2413
