date,BTC,ETH
2021-05-20,2.0951,-32.41
2021-05-21,-1.8441,12.707
2021-05-22,-3.9954,-13.006
2021-05-23,-6.8068,-6.0041
2021-05-24,5.4066,-8.8421
2021-05-25,2.7124,23.2317
2021-05-26,3.1114,2.1269
2021-05-27,-1.1399,6.5328
2021-05-28,-5.9793,-5.297
2021-05-29,-3.6975,-12.6974
2021-05-30,0.5124,-5.7006
2021-05-31,1.9822,4.7102
2021-06-01,1.1798,12.5411
2021-06-02,1.9565,-2.7831
2021-06-03,3.2967,2.7402
2021-06-04,-3.8773,5.2786
2021-06-05,-1.4105,-5.89
2021-06-06,-1.6118,-2.297
2021-06-07,-0.3818,3.0611
2021-06-08,-8.643,-4.4715
2021-06-09,5.8771,-3.2841
2021-06-10,5.8984,3.9508
2021-06-11,0.0413,-5.5025
2021-06-12,-3.4947,-4.854
2021-06-13,1.9164,0.637
2021-06-14,8.5655,5.783
2021-06-15,1.2912,2.8652
2021-06-16,-1.9832,-1.5112
2021-06-17,-2.0344,-7.1855
2021-06-18,-4.3231,0.1548
2021-06-19,-3.2094,-6.1082
2021-06-20,-1.8543,-2.8715
2021-06-21,-5.7312,3.4197
2021-06-22,-3.336,-17.2445
2021-06-23,5.1026,-0.4088
2021-06-24,-0.0028,4.5827
2021-06-25,-1.3441,1.0136
2021-06-26,-5.5883,-9.2986
2021-06-27,5.0384,1.0278
2021-06-28,4.0316,7.9314
2021-06-29,3.0528,4.9746
2021-06-30,-1.3925,3.7715
2021-07-01,-4.0383,5.1304
2021-07-02,-1.1758,-7.5881
2021-07-03,3.0528,2.1483
2021-07-04,2.7565,3.2688
2021-07-05,-3.527,4.2309
2021-07-06,0.2579,-5.5658
2021-07-07,1.2007,5.5362
2021-07-08,-5.0888,-0.2867
2021-07-09,0.9083,-9.0185
2021-07-10,1.5602,1.427
2021-07-11,0.3893,-1.7193
2021-07-12,-0.3941,1.3823
2021-07-13,-2.4999,-5.0284
2021-07-14,-1.105,-4.7621
2021-07-15,-1.1603,2.7335
2021-07-16,-1.0537,-3.9309
2021-07-17,-0.5269,-2.1173
