county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
39005,39,0.44623655,0.5829787,0.5741445,-0.008834243,-0.039022684,0.030188441,0.09729891,-0.32486108,0.42216,0.11256852,-0.25557882,0.36814734,0.13353139,-0.8000002,-0.0061444044,0.01910828,0.09678652,10.878952,6.5,0.5115367,30.09622
39007,39,0.34468085,0.60727274,0.6278317,0.020558953,0.057592094,-0.03703314,0.14986435,-0.30580947,0.4556738,0.11657018,-0.39641526,0.51298547,0.0628009,-0.8000002,-0.007129729,-0.05096661,0.11252925,11.538963,7.4,0.49293634,26.694159
39009,39,0.5780347,0.39534885,0.4642857,0.068936855,-0.04469949,0.113636345,0.57903385,0.057158414,0.52187544,0.41830227,0.17714019,0.24116206,0.29725152,-0.2999997,0.016367465,0.0043252595,-0.06072333,11.067809,6.6,0.46870074,21.832747
39011,39,0.41975307,0.5697211,0.518018,-0.051703095,0.0008671284,-0.052570224,-0.2179125,-0.38813365,0.17022115,-0.122775555,-0.3896545,0.26687893,-0.009302393,-1.7000003,0.04393238,-0.013358778,0.08020027,10.739999,4.6,0.56834036,31.7515
39013,39,0.49425286,0.355,0.53521127,0.18021128,0.22461787,-0.044406593,0.47351858,0.24817963,0.22533894,0.062974796,-0.24207155,0.30504635,-0.26469254,-1.1999998,0.012038082,-0.021144278,0.10902788,11.159146,6.6,0.46285772,23.743937
39015,39,0.42028984,0.5271318,0.7368421,0.2097103,0.07718474,0.13252556,0.6167742,0.21130909,0.4054651,0.28185114,0.07466153,0.20718962,-0.30421138,-0.099999905,0.0063642263,-0.028145695,0.0868016,10.695598,7.0,0.4992414,25.113176
39017,39,0.49657065,0.49444443,0.6004619,0.10601747,0.071593285,0.034424186,0.37889808,-0.17114826,0.5500463,0.1846337,-0.3063742,0.4910079,-0.050715093,0.2999997,0.006544113,0.05774356,0.091106765,12.767777,5.4,0.53175074,35.99276
39019,39,0.32,0.5744681,0.5733333,-0.0011347532,-0.08467215,0.0835374,0.46536326,-0.11778303,0.5831463,0.4673405,0.041672695,0.42566782,0.47000363,-0.7000003,-0.013906091,-0.027027028,0.28052044,10.279112,6.9,0.48595372,23.37076
39021,39,0.536,0.60645163,0.64788735,0.04143572,-0.026094496,0.067530215,-0.021506205,-0.3689075,0.34740132,-0.087598056,-0.32492626,0.23732819,-0.19885086,-1.2000003,-0.005009949,-0.048090525,0.03938579,10.586382,5.8,0.52657104,28.727629
39023,39,0.4052478,0.6346749,0.5968254,-0.037849486,-0.03818369,0.00033420324,-0.08656801,-0.4103551,0.32378706,-0.025079684,-0.3483067,0.32322702,0.07350246,-1.5,-0.0007779002,-0.040014822,0.07826547,11.859115,6.5,0.4989071,27.170778
