year,county,nonbank_loans,bank_loans
2006,1037,15.0,6.0
2007,1037,14.0,8.0
2008,1037,4.0,8.0
2009,1037,4.0,4.0
2010,1037,3.0,5.0
2011,1037,10.0,5.0
2012,1037,8.0,9.0
2013,1037,15.0,18.0
2014,1037,31.0,3.0
2015,1037,29.0,19.0
2016,1037,47.0,9.0
2006,1039,99.0,90.0
2007,1039,91.0,73.0
2008,1039,83.0,87.0
2009,1039,67.0,68.0
2010,1039,62.0,66.0
2011,1039,75.0,77.0
2012,1039,85.0,91.0
2013,1039,109.0,86.0
2014,1039,101.0,85.0
2015,1039,131.0,127.0
2016,1039,111.0,96.0
2006,1041,38.0,46.0
2007,1041,30.0,60.0
2008,1041,31.0,58.0
2009,1041,33.0,34.0
2010,1041,30.0,41.0
2011,1041,39.0,46.0
2012,1041,34.0,60.0
2013,1041,60.0,51.0
2014,1041,55.0,54.0
2015,1041,62.0,44.0
2016,1041,75.0,43.0
2006,1043,156.0,195.0
2007,1043,153.0,205.0
2008,1043,132.0,198.0
2009,1043,130.0,181.0
2010,1043,102.0,125.0
2011,1043,145.0,185.0
2012,1043,180.0,244.0
2013,1043,208.0,252.0
2014,1043,197.0,217.0
2015,1043,209.0,266.0
2016,1043,291.0,240.0
2006,1045,71.0,88.0
2007,1045,73.0,60.0
2008,1045,54.0,78.0
2009,1045,59.0,72.0
2010,1045,43.0,45.0
2011,1045,52.0,88.0
2012,1045,63.0,81.0
2013,1045,99.0,90.0
2014,1045,100.0,72.0
2015,1045,128.0,72.0
2016,1045,205.0,87.0
2006,1047,54.0,92.0
2007,1047,51.0,111.0
2008,1047,46.0,101.0
2009,1047,63.0,68.0
2010,1047,35.0,35.0
2011,1047,50.0,97.0
2012,1047,48.0,82.0
2013,1047,57.0,56.0
2014,1047,87.0,75.0
2015,1047,186.0,73.0
2016,1047,219.0,56.0
2006,1049,119.0,172.0
2007,1049,105.0,152.0
2008,1049,97.0,165.0
2009,1049,100.0,165.0
2010,1049,75.0,91.0
2011,1049,116.0,130.0
2012,1049,109.0,145.0
2013,1049,174.0,189.0
2014,1049,174.0,204.0
2015,1049,224.0,175.0
2016,1049,338.0,162.0
2006,1051,109.0,185.0
2007,1051,104.0,169.0
2008,1051,92.0,141.0
2009,1051,71.0,123.0
2010,1051,67.0,115.0
2011,1051,75.0,147.0
2012,1051,112.0,143.0
2013,1051,147.0,143.0
2014,1051,159.0,179.0
2015,1051,196.0,199.0
2016,1051,199.0,223.0
2006,1053,97.0,89.0
2007,1053,102.0,73.0
2008,1053,91.0,93.0
2009,1053,67.0,84.0
2010,1053,65.0,79.0
2011,1053,90.0,75.0
2012,1053,91.0,82.0
2013,1053,96.0,97.0
2014,1053,89.0,104.0
2015,1053,103.0,116.0
2016,1053,111.0,102.0
2006,1055,131.0,171.0
2007,1055,145.0,168.0
2008,1055,114.0,140.0
2009,1055,117.0,136.0
2010,1055,96.0,95.0
2011,1055,127.0,139.0
2012,1055,124.0,177.0
2013,1055,196.0,217.0
2014,1055,200.0,184.0
2015,1055,270.0,241.0
2016,1055,320.0,205.0
2006,1057,20.0,37.0
2007,1057,28.0,37.0
2008,1057,32.0,39.0
2009,1057,30.0,39.0
2010,1057,21.0,21.0
2011,1057,21.0,33.0
2012,1057,33.0,26.0
2013,1057,26.0,44.0
2014,1057,46.0,40.0
2015,1057,51.0,46.0
2016,1057,62.0,52.0
2006,1059,32.0,65.0
2007,1059,30.0,74.0
2008,1059,31.0,60.0
2009,1059,27.0,52.0
2010,1059,30.0,42.0
2011,1059,43.0,64.0
2012,1059,42.0,77.0
2013,1059,46.0,64.0
2014,1059,56.0,75.0
2015,1059,68.0,80.0
2016,1059,114.0,84.0
2006,1061,62.0,144.0
2007,1061,41.0,95.0
2008,1061,59.0,107.0
2009,1061,67.0,115.0
2010,1061,69.0,81.0
2011,1061,65.0,120.0
2012,1061,80.0,106.0
2013,1061,89.0,117.0
2014,1061,86.0,102.0
2015,1061,118.0,98.0
2016,1061,163.0,97.0
2006,1063,16.0,25.0
2007,1063,65.0,22.0
2008,1063,25.0,12.0
2009,1063,11.0,10.0
2010,1063,5.0,7.0
2011,1063,12.0,11.0
2012,1063,19.0,16.0
2013,1063,26.0,9.0
2014,1063,20.0,17.0
2015,1063,26.0,8.0
2016,1063,31.0,14.0
2006,1065,33.0,28.0
2007,1065,26.0,35.0
2008,1065,27.0,31.0
2009,1065,27.0,26.0
2010,1065,28.0,22.0
2011,1065,44.0,45.0
2012,1065,44.0,46.0
2013,1065,43.0,65.0
2014,1065,54.0,58.0
2015,1065,65.0,57.0
2016,1065,79.0,45.0
2006,1067,64.0,157.0
2007,1067,55.0,120.0
2008,1067,52.0,93.0
2009,1067,36.0,56.0
2010,1067,41.0,32.0
2011,1067,37.0,57.0
2012,1067,78.0,82.0
2013,1067,92.0,98.0
2014,1067,72.0,99.0
2015,1067,82.0,119.0
2016,1067,143.0,122.0
2006,1069,196.0,275.0
2007,1069,203.0,304.0
2008,1069,160.0,290.0
2009,1069,183.0,251.0
2010,1069,137.0,171.0
2011,1069,169.0,210.0
2012,1069,192.0,235.0
2013,1069,195.0,252.0
2014,1069,235.0,250.0
2015,1069,296.0,271.0
2016,1069,567.0,288.0
2006,1071,79.0,138.0
2007,1071,79.0,164.0
2008,1071,87.0,156.0
2009,1071,93.0,159.0
2010,1071,49.0,92.0
2011,1071,85.0,169.0
2012,1071,87.0,146.0
2013,1071,138.0,177.0
2014,1071,144.0,178.0
2015,1071,157.0,171.0
2016,1071,193.0,214.0
2006,1073,1255.0,1471.0
2007,1073,1227.0,1305.0
2008,1073,931.0,1305.0
2009,1073,898.0,1069.0
2010,1073,747.0,913.0
2011,1073,915.0,1196.0
2012,1073,1152.0,1304.0
2013,1073,1352.0,1229.0
2014,1073,1331.0,1249.0
2015,1073,1745.0,1374.0
2016,1073,2477.0,1385.0
2006,1075,30.0,49.0
2007,1075,39.0,45.0
2008,1075,25.0,25.0
2009,1075,17.0,25.0
2010,1075,17.0,19.0
2011,1075,25.0,35.0
2012,1075,26.0,52.0
2013,1075,40.0,72.0
2014,1075,27.0,35.0
2015,1075,49.0,46.0
2016,1075,40.0,48.0
2006,1077,78.0,225.0
2007,1077,100.0,247.0
2008,1077,71.0,183.0
2009,1077,79.0,192.0
2010,1077,78.0,113.0
2011,1077,92.0,160.0
2012,1077,142.0,198.0
2013,1077,179.0,211.0
2014,1077,187.0,194.0
2015,1077,223.0,245.0
2016,1077,272.0,226.0
2006,1079,53.0,51.0
2007,1079,38.0,47.0
2008,1079,36.0,25.0
2009,1079,56.0,45.0
2010,1079,42.0,26.0
2011,1079,45.0,39.0
