year,county,nonbank_loans,bank_loans
2006,19197,94.0,41.0
2007,19197,129.0,46.0
2008,19197,140.0,31.0
2009,19197,119.0,44.0
2010,19197,127.0,29.0
2011,19197,145.0,41.0
2012,19197,134.0,43.0
2013,19197,162.0,44.0
2014,19197,162.0,28.0
2015,19197,126.0,29.0
2016,19197,105.0,45.0
2006,20001,23.0,39.0
2007,20001,49.0,29.0
2008,20001,66.0,41.0
2009,20001,42.0,43.0
2010,20001,50.0,21.0
2011,20001,27.0,37.0
2012,20001,53.0,34.0
2013,20001,79.0,43.0
2014,20001,70.0,34.0
2015,20001,64.0,36.0
2016,20001,54.0,29.0
2006,20003,49.0,25.0
2007,20003,49.0,51.0
2008,20003,71.0,37.0
2009,20003,72.0,37.0
2010,20003,40.0,20.0
2011,20003,48.0,31.0
2012,20003,69.0,37.0
2013,20003,77.0,34.0
2014,20003,82.0,24.0
2015,20003,58.0,25.0
2016,20003,47.0,36.0
2006,20005,31.0,69.0
2007,20005,36.0,46.0
2008,20005,39.0,44.0
2009,20005,32.0,40.0
2010,20005,44.0,39.0
2011,20005,46.0,65.0
2012,20005,58.0,52.0
2013,20005,63.0,45.0
2014,20005,59.0,40.0
2015,20005,44.0,45.0
2016,20005,64.0,36.0
2006,20007,34.0,22.0
2007,20007,48.0,40.0
2008,20007,42.0,35.0
2009,20007,40.0,25.0
2010,20007,42.0,38.0
2011,20007,49.0,26.0
2012,20007,67.0,25.0
2013,20007,47.0,26.0
2014,20007,53.0,34.0
2015,20007,59.0,37.0
2016,20007,37.0,20.0
2006,20009,110.0,92.0
2007,20009,127.0,95.0
2008,20009,132.0,92.0
2009,20009,111.0,108.0
2010,20009,129.0,105.0
2011,20009,127.0,49.0
2012,20009,129.0,80.0
2013,20009,167.0,63.0
2014,20009,135.0,84.0
2015,20009,160.0,52.0
2016,20009,90.0,53.0
2006,20011,40.0,32.0
2007,20011,22.0,41.0
2008,20011,23.0,37.0
2009,20011,21.0,23.0
2010,20011,33.0,34.0
2011,20011,26.0,36.0
2012,20011,27.0,41.0
2013,20011,44.0,32.0
2014,20011,31.0,42.0
2015,20011,33.0,44.0
2016,20011,33.0,34.0
2006,20013,54.0,50.0
2007,20013,56.0,47.0
2008,20013,69.0,45.0
2009,20013,72.0,38.0
2010,20013,82.0,40.0
2011,20013,90.0,49.0
2012,20013,114.0,60.0
2013,20013,138.0,50.0
2014,20013,112.0,49.0
2015,20013,94.0,59.0
2016,20013,70.0,61.0
2006,20015,110.0,127.0
2007,20015,80.0,142.0
2008,20015,97.0,128.0
2009,20015,63.0,103.0
2010,20015,95.0,107.0
2011,20015,124.0,101.0
2012,20015,126.0,129.0
2013,20015,152.0,116.0
2014,20015,144.0,143.0
2015,20015,124.0,127.0
2016,20015,133.0,107.0
2006,20017,6.0,15.0
2007,20017,10.0,4.0
2008,20017,11.0,5.0
2009,20017,14.0,5.0
2010,20017,14.0,4.0
2011,20017,10.0,13.0
2012,20017,13.0,11.0
2013,20017,16.0,6.0
2014,20017,14.0,10.0
2015,20017,21.0,3.0
2016,20017,14.0,8.0
2006,20019,5.0,5.0
2007,20019,3.0,11.0
2008,20019,5.0,7.0
2009,20019,3.0,2.0
2010,20019,2.0,7.0
2011,20019,5.0,7.0
2012,20019,7.0,8.0
2013,20019,9.0,12.0
2014,20019,5.0,7.0
2015,20019,1.0,5.0
2016,20019,3.0,9.0
2006,20021,62.0,55.0
2007,20021,57.0,43.0
2008,20021,57.0,60.0
2009,20021,62.0,36.0
2010,20021,53.0,45.0
2011,20021,72.0,46.0
2012,20021,99.0,44.0
2013,20021,105.0,61.0
2014,20021,85.0,55.0
2015,20021,77.0,47.0
2016,20021,75.0,52.0
2006,20023,26.0,15.0
2007,20023,47.0,16.0
2008,20023,28.0,19.0
2009,20023,44.0,21.0
2010,20023,53.0,30.0
2011,20023,44.0,30.0
2012,20023,51.0,41.0
2013,20023,47.0,34.0
2014,20023,34.0,30.0
2015,20023,40.0,20.0
2016,20023,38.0,16.0
2006,20025,17.0,7.0
2007,20025,18.0,30.0
2008,20025,17.0,8.0
2009,20025,19.0,11.0
2010,20025,17.0,7.0
2011,20025,12.0,5.0
2012,20025,24.0,13.0
2013,20025,24.0,11.0
2014,20025,14.0,5.0
2015,20025,16.0,4.0
2016,20025,25.0,15.0
2006,20027,71.0,218.0
2007,20027,69.0,238.0
2008,20027,82.0,209.0
2009,20027,77.0,178.0
2010,20027,102.0,151.0
2011,20027,94.0,190.0
2012,20027,109.0,201.0
2013,20027,103.0,174.0
2014,20027,98.0,121.0
2015,20027,115.0,101.0
2016,20027,81.0,52.0
2006,20029,67.0,48.0
2007,20029,73.0,42.0
2008,20029,89.0,52.0
2009,20029,81.0,60.0
2010,20029,77.0,44.0
2011,20029,91.0,41.0
2012,20029,114.0,43.0
2013,20029,126.0,38.0
2014,20029,82.0,39.0
2015,20029,88.0,47.0
2016,20029,54.0,32.0
2006,20031,37.0,26.0
2007,20031,30.0,43.0
2008,20031,44.0,34.0
2009,20031,52.0,33.0
2010,20031,35.0,36.0
2011,20031,57.0,39.0
2012,20031,53.0,31.0
2013,20031,82.0,37.0
2014,20031,64.0,30.0
2015,20031,58.0,28.0
2016,20031,37.0,25.0
2006,20033,10.0,5.0
2007,20033,13.0,10.0
2008,20033,11.0,12.0
2009,20033,15.0,13.0
2010,20033,11.0,10.0
2011,20033,19.0,5.0
2012,20033,23.0,6.0
2013,20033,13.0,10.0
2014,20033,10.0,5.0
2015,20033,20.0,4.0
2016,20033,12.0,10.0
2006,20035,62.0,96.0
2007,20035,77.0,89.0
2008,20035,66.0,115.0
2009,20035,61.0,98.0
2010,20035,58.0,71.0
2011,20035,70.0,83.0
2012,20035,88.0,71.0
2013,20035,83.0,77.0
2014,20035,83.0,97.0
2015,20035,91.0,79.0
2016,20035,72.0,70.0
2006,20037,84.0,127.0
2007,20037,99.0,147.0
2008,20037,82.0,125.0
2009,20037,96.0,140.0
2010,20037,94.0,112.0
2011,20037,74.0,113.0
2012,20037,97.0,244.0
2013,20037,88.0,125.0
2014,20037,102.0,120.0
2015,20037,103.0,105.0
2016,20037,87.0,94.0
2006,20039,27.0,15.0
2007,20039,16.0,18.0
2008,20039,23.0,10.0
2009,20039,29.0,19.0
2010,20039,37.0,18.0
2011,20039,33.0,14.0
2012,20039,41.0,16.0
2013,20039,21.0,5.0
2014,20039,24.0,16.0
2015,20039,25.0,13.0
2016,20039,30.0,15.0
2006,20041,68.0,61.0
2007,20041,64.0,48.0
2008,20041,96.0,63.0
2009,20041,92.0,42.0
2010,20041,109.0,49.0
2011,20041,94.0,48.0
2012,20041,110.0,48.0
2013,20041,147.0,41.0
2014,20041,110.0,41.0
2015,20041,117.0,37.0
2016,20041,91.0,31.0
2006,20043,59.0,45.0
2007,20043,64.0,51.0
2008,20043,85.0,32.0
2009,20043,102.0,56.0
2010,20043,74.0,36.0
2011,20043,75.0,38.0
2012,20043,157.0,51.0
2013,20043,115.0,73.0
2014,20043,116.0,61.0
2015,20043,89.0,61.0
2016,20043,89.0,64.0
2006,20045,137.0,208.0
2007,20045,141.0,201.0
2008,20045,159.0,206.0
2009,20045,141.0,196.0
2010,20045,129.0,146.0
2011,20045,128.0,167.0
2012,20045,121.0,207.0
2013,20045,178.0,242.0
2014,20045,146.0,198.0
2015,20045,169.0,201.0
2016,20045,155.0,168.0
2006,20047,23.0,28.0
2007,20047,22.0,19.0
2008,20047,38.0,15.0
2009,20047,29.0,14.0
2010,20047,30.0,9.0
2011,20047,42.0,19.0
2012,20047,46.0,21.0
2013,20047,50.0,14.0
2014,20047,24.0,17.0
2015,20047,40.0,8.0
2016,20047,21.0,23.0
2006,20049,13.0,12.0
2007,20049,8.0,14.0
2008,20049,13.0,26.0
2009,20049,9.0,13.0
2010,20049,9.0,5.0
2011,20049,12.0,3.0
2012,20049,11.0,4.0
2013,20049,15.0,5.0
2014,20049,15.0,10.0
2015,20049,8.0,10.0
2016,20049,11.0,5.0
2006,20051,66.0,106.0
2007,20051,99.0,113.0
2008,20051,80.0,89.0
2009,20051,93.0,77.0
2010,20051,75.0,94.0
2011,20051,90.0,65.0
2012,20051,109.0,89.0
2013,20051,78.0,79.0
2014,20051,95.0,67.0
2015,20051,87.0,77.0
2016,20051,69.0,76.0
2006,20053,30.0,20.0
2007,20053,32.0,16.0
2008,20053,26.0,15.0
2009,20053,28.0,11.0
2010,20053,32.0,22.0
2011,20053,30.0,16.0
2012,20053,52.0,18.0
2013,20053,43.0,22.0
2014,20053,42.0,24.0
2015,20053,36.0,14.0
2016,20053,38.0,17.0
2006,20055,96.0,70.0
2007,20055,131.0,93.0
2008,20055,140.0,60.0
2009,20055,109.0,61.0
2010,20055,140.0,63.0
2011,20055,137.0,68.0
2012,20055,109.0,67.0
2013,20055,153.0,46.0
2014,20055,138.0,70.0
2015,20055,121.0,53.0
2016,20055,108.0,48.0
2006,20057,98.0,74.0
2007,20057,92.0,68.0
2008,20057,107.0,105.0
2009,20057,109.0,75.0
2010,20057,99.0,76.0
2011,20057,78.0,63.0
2012,20057,83.0,70.0
2013,20057,109.0,42.0
2014,20057,98.0,59.0
2015,20057,88.0,37.0
2016,20057,77.0,48.0
2006,20059,82.0,66.0
2007,20059,75.0,90.0
2008,20059,81.0,87.0
2009,20059,65.0,77.0
2010,20059,93.0,52.0
2011,20059,85.0,77.0
2012,20059,95.0,72.0
2013,20059,108.0,69.0
2014,20059,93.0,84.0
2015,20059,106.0,49.0
2016,20059,112.0,45.0
2006,20061,21.0,33.0
2007,20061,31.0,41.0
2008,20061,27.0,37.0
2009,20061,29.0,49.0
2010,20061,35.0,58.0
2011,20061,28.0,44.0
2012,20061,36.0,46.0
2013,20061,63.0,38.0
2014,20061,49.0,34.0
2015,20061,39.0,43.0
2016,20061,36.0,28.0
2006,20063,30.0,22.0
2007,20063,33.0,29.0
2008,20063,64.0,39.0
2009,20063,48.0,20.0
2010,20063,52.0,30.0
2011,20063,38.0,41.0
2012,20063,43.0,21.0
2013,20063,48.0,30.0
2014,20063,32.0,23.0
2015,20063,30.0,27.0
2016,20063,35.0,30.0
2006,20065,18.0,11.0
2007,20065,20.0,8.0
2008,20065,18.0,12.0
2009,20065,19.0,5.0
2010,20065,14.0,15.0
2011,20065,27.0,9.0
2012,20065,24.0,11.0
2013,20065,22.0,4.0
2014,20065,14.0,19.0
2015,20065,12.0,16.0
2016,20065,11.0,11.0
2006,20067,79.0,32.0
2007,20067,61.0,31.0
2008,20067,81.0,34.0
2009,20067,39.0,34.0
2010,20067,63.0,18.0
2011,20067,61.0,25.0
2012,20067,61.0,29.0
2013,20067,57.0,21.0
2014,20067,34.0,32.0
2015,20067,72.0,19.0
2016,20067,42.0,18.0
2006,20069,101.0,41.0
2007,20069,125.0,61.0
2008,20069,127.0,44.0
2009,20069,137.0,43.0
2010,20069,122.0,25.0
2011,20069,103.0,19.0
2012,20069,137.0,28.0
2013,20069,139.0,30.0
2014,20069,90.0,30.0
2015,20069,93.0,24.0
2016,20069,92.0,32.0
2006,20071,18.0,9.0
2007,20071,32.0,14.0
2008,20071,18.0,11.0
2009,20071,24.0,13.0
2010,20071,38.0,6.0
2011,20071,29.0,9.0
2012,20071,49.0,10.0
2013,20071,41.0,14.0
2014,20071,28.0,12.0
2015,20071,22.0,12.0
2016,20071,23.0,12.0
2006,20073,26.0,32.0
2007,20073,23.0,25.0
2008,20073,26.0,24.0
2009,20073,31.0,24.0
2010,20073,17.0,17.0
2011,20073,21.0,21.0
2012,20073,24.0,19.0
2013,20073,32.0,26.0
2014,20073,26.0,30.0
2015,20073,35.0,25.0
2016,20073,28.0,21.0
2006,20075,42.0,12.0
2007,20075,34.0,11.0
2008,20075,27.0,10.0
2009,20075,23.0,19.0
2010,20075,39.0,26.0
2011,20075,33.0,14.0
2012,20075,32.0,21.0
2013,20075,66.0,24.0
2014,20075,40.0,16.0
2015,20075,40.0,18.0
2016,20075,42.0,13.0
2006,20077,31.0,46.0
2007,20077,23.0,65.0
2008,20077,39.0,34.0
2009,20077,23.0,51.0
2010,20077,28.0,45.0
2011,20077,30.0,25.0
2012,20077,55.0,33.0
2013,20077,46.0,46.0
2014,20077,43.0,40.0
2015,20077,29.0,44.0
2016,20077,26.0,36.0
2006,20079,72.0,89.0
2007,20079,53.0,88.0
2008,20079,83.0,88.0
2009,20079,68.0,75.0
2010,20079,80.0,75.0
2011,20079,93.0,64.0
2012,20079,102.0,77.0
2013,20079,132.0,98.0
2014,20079,125.0,73.0
2015,20079,109.0,110.0
2016,20079,89.0,86.0
2006,20081,22.0,16.0
2007,20081,31.0,11.0
2008,20081,26.0,14.0
2009,20081,40.0,13.0
2010,20081,41.0,13.0
2011,20081,35.0,11.0
2012,20081,27.0,9.0
2013,20081,34.0,17.0
2014,20081,56.0,6.0
2015,20081,38.0,26.0
2016,20081,29.0,19.0
2006,20083,17.0,16.0
2007,20083,23.0,17.0
2008,20083,32.0,17.0
2009,20083,17.0,13.0
2010,20083,24.0,9.0
2011,20083,31.0,11.0
2012,20083,34.0,20.0
2013,20083,31.0,16.0
2014,20083,29.0,6.0
2015,20083,37.0,12.0
2016,20083,25.0,13.0
2006,20085,37.0,66.0
2007,20085,39.0,61.0
2008,20085,39.0,44.0
2009,20085,56.0,43.0
2010,20085,46.0,38.0
2011,20085,55.0,42.0
2012,20085,58.0,61.0
2013,20085,71.0,62.0
2014,20085,76.0,59.0
2015,20085,59.0,54.0
2016,20085,71.0,37.0
2006,20087,54.0,46.0
2007,20087,50.0,61.0
2008,20087,55.0,65.0
2009,20087,59.0,55.0
2010,20087,55.0,53.0
2011,20087,57.0,53.0
2012,20087,85.0,63.0
2013,20087,98.0,70.0
2014,20087,101.0,59.0
2015,20087,113.0,63.0
2016,20087,71.0,54.0
2006,20089,27.0,20.0
2007,20089,25.0,12.0
2008,20089,32.0,8.0
2009,20089,35.0,19.0
2010,20089,35.0,30.0
2011,20089,33.0,22.0
2012,20089,44.0,22.0
2013,20089,45.0,23.0
2014,20089,39.0,23.0
2015,20089,35.0,20.0
2016,20089,26.0,16.0
2006,20091,945.0,1257.0
2007,20091,1029.0,1460.0
2008,20091,965.0,1259.0
2009,20091,794.0,1052.0
2010,20091,717.0,1151.0
2011,20091,891.0,1178.0
2012,20091,930.0,1415.0
2013,20091,1156.0,1224.0
2014,20091,1045.0,1696.0
2015,20091,1097.0,1278.0
2016,20091,1134.0,1298.0
2006,20093,43.0,17.0
2007,20093,49.0,9.0
2008,20093,53.0,17.0
2009,20093,41.0,18.0
2010,20093,35.0,18.0
2011,20093,34.0,20.0
2012,20093,40.0,12.0
2013,20093,43.0,14.0
2014,20093,33.0,15.0
2015,20093,22.0,25.0
2016,20093,31.0,11.0
2006,20095,37.0,34.0
2007,20095,50.0,23.0
2008,20095,58.0,32.0
2009,20095,45.0,26.0
2010,20095,59.0,28.0
2011,20095,60.0,29.0
2012,20095,95.0,27.0
2013,20095,99.0,37.0
2014,20095,81.0,35.0
2015,20095,85.0,31.0
2016,20095,50.0,29.0
2006,20097,19.0,12.0
2007,20097,37.0,6.0
2008,20097,19.0,15.0
2009,20097,23.0,13.0
2010,20097,21.0,14.0
2011,20097,27.0,10.0
2012,20097,24.0,11.0
2013,20097,32.0,6.0
2014,20097,23.0,9.0
2015,20097,12.0,11.0
2016,20097,28.0,11.0
2006,20099,47.0,113.0
2007,20099,69.0,88.0
2008,20099,86.0,102.0
2009,20099,58.0,92.0
2010,20099,80.0,59.0
2011,20099,72.0,91.0
2012,20099,100.0,79.0
2013,20099,95.0,75.0
2014,20099,81.0,62.0
2015,20099,77.0,76.0
2016,20099,92.0,87.0
2006,20101,19.0,6.0
2007,20101,19.0,7.0
2008,20101,37.0,15.0
2009,20101,43.0,20.0
2010,20101,28.0,7.0
2011,20101,21.0,9.0
2012,20101,21.0,11.0
2013,20101,32.0,7.0
2014,20101,26.0,8.0
2015,20101,25.0,18.0
2016,20101,23.0,11.0
2006,20103,72.0,121.0
2007,20103,80.0,106.0
2008,20103,78.0,115.0
2009,20103,58.0,112.0
2010,20103,56.0,98.0
2011,20103,68.0,86.0
2012,20103,92.0,77.0
2013,20103,105.0,114.0
2014,20103,110.0,106.0
2015,20103,105.0,102.0
2016,20103,81.0,100.0
2006,20105,29.0,20.0
2007,20105,22.0,17.0
2008,20105,41.0,15.0
2009,20105,39.0,10.0
2010,20105,38.0,20.0
2011,20105,40.0,10.0
2012,20105,47.0,14.0
2013,20105,33.0,9.0
2014,20105,46.0,9.0
2015,20105,34.0,17.0
2016,20105,27.0,14.0
2006,20107,35.0,40.0
2007,20107,49.0,26.0
2008,20107,31.0,37.0
2009,20107,32.0,42.0
2010,20107,28.0,26.0
2011,20107,24.0,28.0
2012,20107,33.0,47.0
2013,20107,60.0,28.0
2014,20107,59.0,31.0
2015,20107,44.0,28.0
2016,20107,39.0,28.0
2006,20109,34.0,14.0
2007,20109,55.0,30.0
2008,20109,56.0,27.0
2009,20109,48.0,25.0
2010,20109,47.0,23.0
2011,20109,48.0,19.0
2012,20109,53.0,40.0
2013,20109,50.0,35.0
2014,20109,36.0,36.0
2015,20109,30.0,12.0
2016,20109,31.0,17.0
2006,20111,73.0,67.0
2007,20111,79.0,59.0
2008,20111,97.0,50.0
2009,20111,89.0,56.0
2010,20111,95.0,54.0
2011,20111,95.0,50.0
2012,20111,113.0,54.0
2013,20111,139.0,57.0
2014,20111,141.0,61.0
2015,20111,122.0,40.0
2016,20111,98.0,44.0
2006,20113,124.0,92.0
2007,20113,102.0,96.0
2008,20113,153.0,94.0
2009,20113,119.0,79.0
2010,20113,142.0,76.0
2011,20113,113.0,67.0
2012,20113,156.0,91.0
2013,20113,165.0,71.0
2014,20113,149.0,102.0
2015,20113,157.0,72.0
2016,20113,146.0,106.0
2006,20115,71.0,73.0
2007,20115,72.0,53.0
2008,20115,82.0,41.0
2009,20115,70.0,45.0
2010,20115,68.0,57.0
2011,20115,68.0,55.0
2012,20115,112.0,47.0
2013,20115,122.0,44.0
2014,20115,116.0,44.0
2015,20115,92.0,44.0
2016,20115,76.0,39.0
2006,20117,94.0,50.0
2007,20117,91.0,48.0
2008,20117,105.0,41.0
2009,20117,115.0,54.0
2010,20117,113.0,36.0
2011,20117,140.0,45.0
2012,20117,157.0,41.0
2013,20117,143.0,40.0
2014,20117,121.0,48.0
2015,20117,95.0,32.0
2016,20117,90.0,26.0
2006,20119,25.0,17.0
2007,20119,47.0,19.0
2008,20119,52.0,13.0
2009,20119,36.0,20.0
2010,20119,49.0,22.0
2011,20119,70.0,20.0
2012,20119,44.0,13.0
2013,20119,42.0,16.0
2014,20119,45.0,18.0
2015,20119,64.0,18.0
2016,20119,49.0,14.0
2006,20121,92.0,72.0
2007,20121,92.0,85.0
2008,20121,91.0,75.0
2009,20121,81.0,64.0
2010,20121,89.0,54.0
2011,20121,100.0,64.0
2012,20121,137.0,78.0
2013,20121,153.0,72.0
2014,20121,152.0,85.0
2015,20121,145.0,66.0
2016,20121,102.0,72.0
2006,20123,78.0,38.0
2007,20123,68.0,48.0
2008,20123,92.0,45.0
2009,20123,109.0,58.0
2010,20123,108.0,59.0
2011,20123,107.0,48.0
2012,20123,142.0,39.0
2013,20123,142.0,51.0
2014,20123,101.0,57.0
2015,20123,107.0,56.0
2016,20123,62.0,60.0
2006,20125,98.0,94.0
2007,20125,84.0,104.0
2008,20125,95.0,83.0
2009,20125,79.0,81.0
2010,20125,79.0,74.0
2011,20125,83.0,79.0
2012,20125,107.0,76.0
2013,20125,104.0,92.0
2014,20125,93.0,68.0
2015,20125,82.0,83.0
2016,20125,70.0,93.0
2006,20127,25.0,31.0
2007,20127,26.0,30.0
2008,20127,35.0,44.0
2009,20127,23.0,30.0
2010,20127,34.0,28.0
2011,20127,23.0,32.0
2012,20127,48.0,27.0
2013,20127,27.0,20.0
2014,20127,43.0,24.0
2015,20127,41.0,13.0
2016,20127,37.0,23.0
2006,20129,20.0,19.0
2007,20129,23.0,15.0
2008,20129,13.0,14.0
2009,20129,22.0,21.0
2010,20129,8.0,9.0
2011,20129,12.0,21.0
2012,20129,14.0,11.0
2013,20129,7.0,5.0
2014,20129,11.0,7.0
2015,20129,5.0,6.0
2016,20129,9.0,1.0
2006,20131,91.0,61.0
2007,20131,85.0,49.0
2008,20131,142.0,42.0
2009,20131,104.0,45.0
2010,20131,105.0,48.0
2011,20131,115.0,39.0
2012,20131,173.0,35.0
2013,20131,173.0,47.0
2014,20131,146.0,42.0
2015,20131,118.0,55.0
2016,20131,96.0,44.0
2006,20133,44.0,66.0
2007,20133,55.0,60.0
2008,20133,35.0,56.0
2009,20133,39.0,50.0
2010,20133,40.0,63.0
2011,20133,38.0,40.0
2012,20133,61.0,40.0
2013,20133,62.0,35.0
2014,20133,34.0,46.0
2015,20133,31.0,32.0
2016,20133,45.0,51.0
2006,20135,28.0,21.0
2007,20135,45.0,34.0
2008,20135,47.0,15.0
2009,20135,23.0,12.0
2010,20135,19.0,14.0
2011,20135,24.0,27.0
2012,20135,31.0,21.0
2013,20135,44.0,23.0
2014,20135,27.0,31.0
2015,20135,27.0,16.0
2016,20135,20.0,18.0
2006,20137,77.0,23.0
2007,20137,68.0,35.0
2008,20137,71.0,37.0
2009,20137,54.0,28.0
2010,20137,66.0,34.0
2011,20137,56.0,22.0
2012,20137,49.0,33.0
2013,20137,62.0,24.0
2014,20137,46.0,26.0
2015,20137,53.0,29.0
2016,20137,44.0,29.0
2006,20139,59.0,89.0
2007,20139,53.0,66.0
2008,20139,60.0,61.0
2009,20139,54.0,67.0
2010,20139,57.0,51.0
2011,20139,76.0,48.0
2012,20139,68.0,44.0
2013,20139,88.0,36.0
2014,20139,101.0,59.0
2015,20139,74.0,41.0
2016,20139,96.0,34.0
2006,20141,33.0,24.0
2007,20141,32.0,25.0
2008,20141,51.0,35.0
2009,20141,43.0,16.0
2010,20141,36.0,17.0
2011,20141,39.0,24.0
2012,20141,62.0,18.0
2013,20141,76.0,15.0
2014,20141,46.0,13.0
2015,20141,45.0,22.0
2016,20141,35.0,15.0
2006,20143,22.0,16.0
2007,20143,29.0,17.0
2008,20143,43.0,21.0
2009,20143,27.0,23.0
2010,20143,53.0,21.0
2011,20143,61.0,15.0
2012,20143,65.0,28.0
2013,20143,67.0,15.0
2014,20143,57.0,25.0
2015,20143,54.0,19.0
2016,20143,36.0,17.0
2006,20145,28.0,24.0
2007,20145,32.0,42.0
2008,20145,36.0,23.0
2009,20145,29.0,17.0
2010,20145,42.0,28.0
2011,20145,38.0,25.0
2012,20145,42.0,25.0
2013,20145,44.0,17.0
2014,20145,49.0,22.0
2015,20145,54.0,21.0
2016,20145,37.0,22.0
2006,20147,41.0,20.0
2007,20147,46.0,36.0
2008,20147,61.0,39.0
2009,20147,54.0,36.0
2010,20147,49.0,32.0
2011,20147,63.0,23.0
2012,20147,69.0,27.0
2013,20147,57.0,15.0
2014,20147,62.0,22.0
2015,20147,81.0,24.0
2016,20147,61.0,33.0
2006,20149,83.0,56.0
2007,20149,78.0,64.0
2008,20149,73.0,100.0
2009,20149,79.0,56.0
2010,20149,77.0,100.0
2011,20149,71.0,60.0
2012,20149,107.0,64.0
2013,20149,131.0,73.0
2014,20149,112.0,61.0
2015,20149,104.0,64.0
2016,20149,71.0,60.0
2006,20151,69.0,69.0
2007,20151,72.0,81.0
2008,20151,89.0,54.0
2009,20151,66.0,82.0
2010,20151,54.0,51.0
2011,20151,68.0,40.0
2012,20151,63.0,69.0
2013,20151,82.0,55.0
2014,20151,62.0,53.0
2015,20151,56.0,29.0
2016,20151,54.0,45.0
2006,20153,22.0,11.0
2007,20153,31.0,22.0
2008,20153,30.0,13.0
2009,20153,29.0,13.0
2010,20153,32.0,18.0
2011,20153,47.0,18.0
2012,20153,44.0,7.0
2013,20153,22.0,13.0
2014,20153,22.0,6.0
2015,20153,37.0,7.0
2016,20153,30.0,9.0
2006,20155,137.0,143.0
2007,20155,149.0,136.0
2008,20155,161.0,119.0
2009,20155,159.0,109.0
2010,20155,158.0,94.0
2011,20155,166.0,119.0
2012,20155,201.0,111.0
2013,20155,264.0,131.0
2014,20155,278.0,120.0
2015,20155,173.0,123.0
2016,20155,138.0,108.0
2006,20157,88.0,47.0
2007,20157,71.0,46.0
2008,20157,80.0,44.0
2009,20157,59.0,24.0
2010,20157,86.0,50.0
2011,20157,102.0,35.0
2012,20157,97.0,27.0
2013,20157,99.0,39.0
2014,20157,99.0,34.0
2015,20157,100.0,29.0
2016,20157,76.0,33.0
2006,20159,64.0,44.0
2007,20159,59.0,22.0
2008,20159,70.0,35.0
2009,20159,80.0,30.0
2010,20159,58.0,36.0
2011,20159,68.0,29.0
2012,20159,80.0,37.0
2013,20159,127.0,40.0
2014,20159,81.0,24.0
2015,20159,82.0,35.0
2016,20159,52.0,27.0
2006,20161,118.0,139.0
2007,20161,77.0,95.0
2008,20161,90.0,109.0
2009,20161,70.0,125.0
2010,20161,90.0,136.0
2011,20161,106.0,149.0
2012,20161,122.0,132.0
2013,20161,115.0,164.0
2014,20161,119.0,148.0
2015,20161,98.0,149.0
2016,20161,108.0,142.0
2006,20163,43.0,45.0
2007,20163,34.0,31.0
2008,20163,41.0,29.0
2009,20163,40.0,64.0
2010,20163,53.0,34.0
2011,20163,42.0,33.0
2012,20163,49.0,25.0
2013,20163,49.0,42.0
2014,20163,62.0,53.0
2015,20163,46.0,21.0
2016,20163,37.0,35.0
2006,20165,17.0,11.0
2007,20165,20.0,11.0
2008,20165,23.0,12.0
2009,20165,17.0,12.0
2010,20165,19.0,7.0
2011,20165,19.0,11.0
2012,20165,17.0,11.0
2013,20165,32.0,7.0
2014,20165,26.0,9.0
2015,20165,24.0,5.0
2016,20165,25.0,4.0
2006,20167,32.0,43.0
2007,20167,37.0,53.0
2008,20167,79.0,64.0
2009,20167,41.0,60.0
2010,20167,46.0,52.0
2011,20167,44.0,56.0
2012,20167,55.0,44.0
2013,20167,40.0,38.0
2014,20167,47.0,38.0
2015,20167,44.0,23.0
2016,20167,34.0,31.0
2006,20169,116.0,107.0
2007,20169,122.0,110.0
2008,20169,130.0,112.0
2009,20169,91.0,114.0
2010,20169,102.0,109.0
2011,20169,112.0,82.0
2012,20169,113.0,98.0
2013,20169,181.0,104.0
2014,20169,129.0,119.0
2015,20169,134.0,97.0
2016,20169,115.0,79.0
2006,20171,65.0,41.0
2007,20171,45.0,33.0
2008,20171,43.0,37.0
2009,20171,59.0,37.0
2010,20171,62.0,23.0
2011,20171,47.0,39.0
2012,20171,60.0,38.0
2013,20171,60.0,22.0
2014,20171,80.0,25.0
2015,20171,57.0,25.0
2016,20171,49.0,25.0
2006,20173,823.0,2708.0
2007,20173,839.0,1250.0
2008,20173,891.0,1268.0
2009,20173,729.0,1232.0
2010,20173,637.0,1093.0
2011,20173,729.0,1155.0
2012,20173,893.0,1394.0
2013,20173,861.0,1464.0
2014,20173,937.0,1249.0
2015,20173,993.0,1210.0
2016,20173,875.0,1399.0
2006,20175,62.0,51.0
2007,20175,43.0,44.0
2008,20175,31.0,41.0
2009,20175,40.0,27.0
2010,20175,40.0,41.0
2011,20175,66.0,45.0
2012,20175,50.0,30.0
2013,20175,47.0,44.0
2014,20175,37.0,31.0
2015,20175,38.0,33.0
2016,20175,53.0,16.0
2006,20177,218.0,522.0
2007,20177,236.0,544.0
2008,20177,239.0,633.0
2009,20177,227.0,436.0
2010,20177,232.0,430.0
2011,20177,210.0,496.0
2012,20177,229.0,586.0
2013,20177,241.0,619.0
2014,20177,307.0,586.0
2015,20177,280.0,499.0
2016,20177,261.0,472.0
2006,20179,41.0,28.0
2007,20179,51.0,16.0
2008,20179,37.0,15.0
2009,20179,40.0,27.0
2010,20179,45.0,12.0
2011,20179,48.0,12.0
